date,liquidityIndex
2020-12-01T15:51:01.000Z,1000000000000000000000000000
2020-12-02T13:23:28.000Z,1000000000000000000000000000
2020-12-03T10:25:14.000Z,1000011465917437133200112223
2020-12-04T07:45:42.000Z,1000152592561180892907785438
2020-12-05T05:03:44.000Z,1000286812578314076187462965
2020-12-06T02:20:20.000Z,1000504709085921753174009551
2020-12-06T23:31:50.000Z,1000691573613751257690623681
2020-12-07T20:51:46.000Z,1000849461197594149266165040
2020-12-08T18:16:53.000Z,1001032367322692877040143090
2020-12-09T15:10:08.000Z,1001235184121034277257499894
2020-12-10T12:28:09.000Z,1001467368087467424877166362
2020-12-11T10:05:17.000Z,1001569752415332793278392973
2020-12-12T07:23:20.000Z,1001654512435725821487414063
2020-12-13T04:34:28.000Z,1001759599795649432253889168
2020-12-14T01:54:18.000Z,1001898971846926301491214042
2020-12-14T22:59:34.000Z,1002038175325231423293032133
2020-12-15T20:08:24.000Z,1002289920488006633102629495
2020-12-16T17:29:05.000Z,1002368901641485302160707793
2020-12-17T14:37:44.000Z,1002674916562097478038121633
2020-12-18T11:50:24.000Z,1002860971843669751448589328
2020-12-19T09:19:16.000Z,1002987716372221119888753965
2020-12-20T06:14:53.000Z,1003138986253928190747924313
2020-12-21T03:38:20.000Z,1003306139108831256132275432
2020-12-22T00:40:36.000Z,1003596739921364375937674970
2020-12-22T21:50:03.000Z,1003867456533542473535510035
2020-12-23T18:54:17.000Z,1004066729156428030350893499
2020-12-24T16:19:45.000Z,1004254095558618611498396845
2020-12-25T13:40:29.000Z,1004484956044573563122420504
2020-12-26T10:45:57.000Z,1004680183559272646785404024
2020-12-27T08:04:11.000Z,1004828837119435222351174007
2020-12-28T05:08:04.000Z,1005028342373646305319210104
2020-12-29T02:10:05.000Z,1005258614833344106713783736
2020-12-29T23:42:42.000Z,1005351332638001663248001035
2020-12-30T20:45:43.000Z,1005522044727463384392843787
2020-12-31T17:59:47.000Z,1005655313641415808905432215
2021-01-01T15:14:22.000Z,1005802033492495371753505113
2021-01-02T12:19:47.000Z,1005917387686977923970398652
2021-01-03T09:34:16.000Z,1006194468511659819562310744
2021-01-04T06:48:37.000Z,1006470304451309675357324176
2021-01-05T04:08:02.000Z,1006688840475017274109190637
2021-01-06T01:08:51.000Z,1006850893276750885111731379
2021-01-06T22:21:09.000Z,1007363385880588023301586574
2021-01-07T19:50:44.000Z,1007594259599374917443536389
2021-01-08T16:49:03.000Z,1007812091315740462987800154
2021-01-09T14:11:40.000Z,1008084130525422681846109339
2021-01-10T11:19:35.000Z,1008258254783158261492464332
2021-01-11T08:32:24.000Z,1008402415101572989588892420
2021-01-12T05:45:53.000Z,1008532350702922213700677138
2021-01-13T02:51:25.000Z,1008695647039975890347463475
2021-01-13T23:46:54.000Z,1008846862534582673292925911
2021-01-14T21:20:25.000Z,1008999947667531544102485159
2021-01-15T18:22:15.000Z,1009269033650302479751006363
2021-01-16T15:44:25.000Z,1009449816058280102492507415
2021-01-17T13:03:37.000Z,1009703344267330369615576486
2021-01-18T10:13:47.000Z,1009955605004266828120667245
2021-01-19T07:31:31.000Z,1010183505807094929667307473
2021-01-20T04:39:19.000Z,1010434861021759443519150148
2021-01-21T01:38:19.000Z,1010665893839513781039290423
2021-01-21T22:57:44.000Z,1010896015574702857025937557
2021-01-22T20:23:47.000Z,1011139672525632348203019007
2021-01-23T17:30:48.000Z,1011351697553656405698904895
2021-01-24T14:39:56.000Z,1011576969919958063469594047
2021-01-25T12:00:04.000Z,1011842185178610136688691935
2021-01-26T09:25:46.000Z,1012032045032569036688824649
