date,liquidityIndex
2020-12-01T15:51:01.000Z,1000000000000000000000000000
2020-12-02T13:23:28.000Z,1000000000000000000000000000
2020-12-03T10:25:14.000Z,1000003106560972464822084863
2020-12-04T07:45:42.000Z,1000085606324075985402648210
2020-12-05T05:03:44.000Z,1000227500089504024326931713
2020-12-06T02:20:20.000Z,1000329974324525033812042333
2020-12-06T23:31:50.000Z,1000520108672870400476390941
2020-12-07T20:51:46.000Z,1000765231191178234801796388
2020-12-08T18:16:53.000Z,1001108414983260600443415009
2020-12-09T15:10:08.000Z,1001209382290327124336148047
2020-12-10T12:28:09.000Z,1001301182807936675747430112
2020-12-11T10:05:17.000Z,1001458733560535031739564614
2020-12-12T07:23:20.000Z,1001566673143400552133786647
2020-12-13T04:34:28.000Z,1001756382388304342056630703
2020-12-14T01:54:18.000Z,1001888139968020918569917997
2020-12-14T22:59:34.000Z,1002031727725158137781620102
2020-12-15T20:08:24.000Z,1002307892016450797246411750
2020-12-16T17:29:05.000Z,1002566431748263760871475555
2020-12-17T14:37:44.000Z,1003003661854577559954304867
2020-12-18T11:50:24.000Z,1003362781115620127243927121
2020-12-19T09:19:16.000Z,1003506266307596519083469537
2020-12-20T06:14:53.000Z,1003729993828468159803921914
2020-12-21T03:38:20.000Z,1003990173480287052764245232
2020-12-22T00:40:36.000Z,1004182210085356910523740823
2020-12-22T21:50:03.000Z,1004277228236690247841990307
2020-12-23T18:54:17.000Z,1004394009135997729526970119
2020-12-24T16:19:45.000Z,1004655144844086636878550513
2020-12-25T13:40:29.000Z,1005175793028935089687654613
2020-12-26T10:45:57.000Z,1005442640469278244586841573
2020-12-27T08:04:11.000Z,1005751415453842768333285906
2020-12-28T05:08:04.000Z,1005984206029752060402361114
2020-12-29T02:10:05.000Z,1006217585448782274556920650
2020-12-29T23:42:42.000Z,1006402637251232893545170590
2020-12-30T20:45:43.000Z,1006577181218059174925231188
2020-12-31T17:59:47.000Z,1006683353031879794708942039
2021-01-01T15:14:22.000Z,1006868092439946524804749295
2021-01-02T12:19:47.000Z,1007188948227331089172951423
2021-01-03T09:34:16.000Z,1007594415941581320437750584
2021-01-04T06:48:37.000Z,1007873457429670233869685300
2021-01-05T04:08:02.000Z,1008254922241654234653824101
2021-01-06T01:08:51.000Z,1008409242109820578187732876
2021-01-06T22:21:09.000Z,1008854452555466201990514869
2021-01-07T19:50:44.000Z,1009089948998678560955962884
2021-01-08T16:49:03.000Z,1009301743934092703053339020
2021-01-09T14:11:40.000Z,1009573875885331425085887858
2021-01-10T11:19:35.000Z,1009808426997325494374656816
2021-01-11T08:32:24.000Z,1010083767557168954852584641
2021-01-12T05:45:53.000Z,1010357012752869820982656592
2021-01-13T02:51:25.000Z,1010583035061813403280819207
2021-01-13T23:46:54.000Z,1010829251103380784820968631
2021-01-14T21:20:25.000Z,1011128091213127358675093421
2021-01-15T18:22:15.000Z,1011389319342621747365181816
2021-01-16T15:44:25.000Z,1011678392454858780181037955
2021-01-17T13:03:37.000Z,1011985165038907263992102400
2021-01-18T10:13:47.000Z,1012284312624839092227081368
2021-01-19T07:31:31.000Z,1012574108563722760838683753
2021-01-20T04:39:19.000Z,1012989586076583575478839125
2021-01-21T01:38:19.000Z,1013236416200944407199635533
2021-01-21T22:57:44.000Z,1013432251789961890861466896
2021-01-22T20:23:47.000Z,1013757485705942615928211553
2021-01-23T17:30:48.000Z,1013979710793768089006532077
2021-01-24T14:39:56.000Z,1014264911394160450310873847
2021-01-25T12:00:04.000Z,1014585495634243154760492864
2021-01-26T09:25:46.000Z,1014846420074175329575681241
